N=10000, K=8, t=[[0.49655 0.00345],[0.0088 0.4912]]
N=10000, K=9, t=[[0.4983 0.0017],[0.00695 0.49305]]
N=10000, K=10, t=[[0.49945 0.00055],[0.0046 0.4954]]
N=10000, K=11, t=[[4.999e-01 1.000e-04],[0.0042 0.4958]]
N=10000, K=12, t=[[4.998e-01 2.000e-04],[0.0025 0.4975]]
N=10000, K=13, t=[[4.9985e-01 1.5000e-04],[0.0013 0.4987]]
N=10000, K=14, t=[[0.5 0. ],[0.00135 0.49865]]
N=10000, K=15, t=[[0.5 0. ],[0.00095 0.49905]]
N=10000, K=16, t=[[0.5 0. ],[3.5000e-04 4.9965e-01]]
N=10000, K=17, t=[[0.5 0. ],[4.000e-04 4.996e-01]]
N=10000, K=18, t=[[0.5 0. ],[2.000e-04 4.998e-01]]
N=10000, K=19, t=[[0.5 0. ],[5.0000e-05 4.9995e-01]]
N=10000, K=20, t=[[0.5 0. ],[1.000e-04 4.999e-01]]
N=10000, K=21, t=[[0.5 0. ],[1.5000e-04 4.9985e-01]]
N=10000, K=22, t=[[0.5 0. ],[5.0000e-05 4.9995e-01]]
N=10000, K=23, t=[[0.5 0. ],[0.  0.5]]
N=10000, K=24, t=[[0.5 0. ],[0.  0.5]]
N=10000, K=25, t=[[0.5 0. ],[0.  0.5]]
N=10000, K=26, t=[[0.5 0. ],[0.  0.5]]
N=10000, K=27, t=[[0.5 0. ],[5.0000e-05 4.9995e-01]]
N=10000, K=28, t=[[0.5 0. ],[0.  0.5]]
N=10000, K=29, t=[[0.5 0. ],[0.  0.5]]
N=10000, K=30, t=[[0.5 0. ],[5.0000e-05 4.9995e-01]]
N=10000, K=31, t=[[0.5 0. ],[0.  0.5]]
N=10000, K=32, t=[[0.5 0. ],[0.  0.5]]
N=10000, K=33, t=[[0.5 0. ],[0.  0.5]]
N=10000, K=34, t=[[0.5 0. ],[0.  0.5]]
N=10000, K=35, t=[[0.5 0. ],[0.  0.5]]
N=10000, K=36, t=[[0.5 0. ],[0.  0.5]]
N=10000, K=37, t=[[0.5 0. ],[0.  0.5]]
N=10000, K=38, t=[[0.5 0. ],[0.  0.5]]
N=10000, K=39, t=[[0.5 0. ],[0.  0.5]]
N=10000, K=40, t=[[0.5 0. ],[0.  0.5]]
N=10000, K=41, t=[[0.5 0. ],[0.  0.5]]
N=10000, K=42, t=[[0.5 0. ],[0.  0.5]]
N=10000, K=43, t=[[0.5 0. ],[0.  0.5]]
N=10000, K=44, t=[[0.5 0. ],[0.  0.5]]
N=10000, K=45, t=[[0.5 0. ],[0.  0.5]]
N=10000, K=46, t=[[0.5 0. ],[0.  0.5]]
N=10000, K=47, t=[[0.5 0. ],[0.  0.5]]
N=10000, K=48, t=[[0.5 0. ],[0.  0.5]]
N=10000, K=49, t=[[0.5 0. ],[0.  0.5]]
N=10000, K=50, t=[[0.5 0. ],[0.  0.5]]
N=10000, K=51, t=[[0.5 0. ],[0.  0.5]]
N=10000, K=52, t=[[0.5 0. ],[0.  0.5]]
N=10000, K=53, t=[[0.5 0. ],[0.  0.5]]
N=10000, K=54, t=[[0.5 0. ],[0.  0.5]]
N=10000, K=55, t=[[0.5 0. ],[0.  0.5]]
N=10000, K=56, t=[[0.5 0. ],[0.  0.5]]
N=10000, K=57, t=[[0.5 0. ],[0.  0.5]]
N=10000, K=58, t=[[0.5 0. ],[0.  0.5]]
N=10000, K=59, t=[[0.5 0. ],[0.  0.5]]
N=10000, K=60, t=[[0.5 0. ],[0.  0.5]]
N=10000, K=61, t=[[0.5 0. ],[0.  0.5]]
N=10000, K=62, t=[[0.5 0. ],[0.  0.5]]
N=10000, K=63, t=[[0.5 0. ],[0.  0.5]]
N=10000, K=64, t=[[0.5 0. ],[0.  0.5]]
N=10000, K=65, t=[[0.5 0. ],[0.  0.5]]
N=10000, K=66, t=[[0.5 0. ],[0.  0.5]]
